"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"46","Justice Roberts can say what he wants, but the 9th Circuit is a complete &amp; total disaster. It is out of control, ha… https://t.co/pdeDV726jf",FALSE,106443,NA,2018-11-22 12:21:51,TRUE,NA,"1065581119242940416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27092,FALSE,FALSE,NA,NA
"47","HAPPY THANKSGIVING TO ALL!",FALSE,202358,NA,2018-11-22 12:01:51,FALSE,NA,"1065576088779272192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",34091,FALSE,FALSE,NA,NA
"48","“It’s a mean &amp; nasty world out there, the Middle East in particular. This is a long and historic commitment, &amp; one… https://t.co/peZsXtB57e",FALSE,57288,NA,2018-11-22 11:58:24,TRUE,NA,"1065575219576926208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12868,FALSE,FALSE,NA,NA
"49","You just can’t win with the Fake News Media. A big story today is that because I have pushed so hard and gotten Gas… https://t.co/YG5IvhTSSJ",FALSE,169540,NA,2018-11-22 00:36:06,TRUE,NA,"1065403512559992832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",38761,FALSE,FALSE,NA,NA
"50","Brutal and Extended Cold Blast could shatter ALL RECORDS - Whatever happened to Global Warming?",FALSE,113888,NA,2018-11-22 00:23:09,FALSE,NA,"1065400254151954432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28533,FALSE,FALSE,NA,NA
"51","“79% of these decisions have been overturned in the 9th Circuit.” @FoxNews  A terrible, costly and dangerous disgra… https://t.co/0fvZgB3qwG",FALSE,77319,NA,2018-11-21 22:17:33,TRUE,NA,"1065368645021388800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20611,FALSE,FALSE,NA,NA
"52","There are a lot of CRIMINALS in the Caravan. We will stop them. Catch and Detain! Judicial Activism, by people who… https://t.co/BwGiNXe6R0",FALSE,100377,NA,2018-11-21 21:42:30,TRUE,NA,"1065359825654169600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",25174,FALSE,FALSE,NA,NA
"53","“Thank you to President Trump on the Border. No American President has ever done this before.” Hector Garza, National Border Patrol Council",FALSE,78649,NA,2018-11-21 21:31:24,FALSE,NA,"1065357030985252865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18351,FALSE,FALSE,NA,NA
"54",".....are so many opposing view (on Border and Safety) cases filed there, and why are a vast number of those cases o… https://t.co/JlyYHGX2SR",FALSE,89023,NA,2018-11-21 21:09:20,TRUE,NA,"1065351478347530241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22469,FALSE,FALSE,NA,NA
"55","Sorry Chief Justice John Roberts, but you do indeed have “Obama judges,” and they have a much different point of vi… https://t.co/gIByfadPmu",FALSE,88640,NA,2018-11-21 20:51:11,TRUE,NA,"1065346909362143232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24029,FALSE,FALSE,NA,NA
